Date,Count
11/3/2023,1
11/4/2023,6
11/5/2023,5
11/7/2023,2
11/8/2023,2
11/13/2023,5
11/14/2023,12
11/15/2023,12
11/16/2023,76
11/17/2023,54
11/18/2023,492
11/19/2023,86
11/20/2023,5
11/21/2023,5
11/22/2023,4
11/23/2023,7
11/24/2023,13
11/25/2023,5
11/26/2023,12
11/27/2023,5
11/28/2023,5
11/29/2023,6
11/30/2023,14
12/1/2023,9
12/2/2023,8
12/3/2023,15
12/4/2023,20
12/5/2023,6
12/6/2023,38
12/7/2023,50
12/8/2023,10
12/9/2023,39
12/10/2023,41
12/11/2023,44
12/12/2023,27
12/13/2023,24
12/14/2023,28
12/15/2023,17
12/16/2023,15
12/17/2023,13
12/18/2023,111
12/19/2023,331
12/20/2023,8
12/27/2023,5
12/28/2023,66
12/29/2023,44
12/30/2023,15
12/31/2023,37
1/2/2024,35
1/3/2024,1
1/4/2024,28
1/5/2024,30
1/6/2024,21
1/7/2024,29
1/8/2024,17
1/9/2024,1
1/10/2024,19
1/11/2024,39
1/12/2024,26
1/13/2024,1
1/14/2024,1
1/15/2024,6
1/16/2024,19
1/17/2024,18
1/18/2024,17
1/19/2024,4
